,MultiLink,0
0,Air Conditioners,42
1,All Computers & Accessories,17
2,All English,10
3,All Exercise & Fitness,21
4,All Hindi,36
5,"Baby Bath, Skin & Grooming",29
6,Baby Fashion,30
7,Backpacks,44
8,Badminton,46
9,Bags & Luggage,4
10,Bedroom Linen,38
11,Blu-ray,12
12,Camping & Hiking,13
13,Car & Bike Care,10
14,Car Accessories,35
15,Car Electronics,50
16,Car Parts,3
17,Cardio Equipment,21
18,Certified Refurbished,44
19,Clothing,6
20,Components,42
21,Computer Accessories,45
22,Cricket,37
23,Cycling,36
24,DSLR Cameras,21
25,Desktops,16
26,Diapers,48
27,Dog supplies,45
28,Drives & Storage,6
29,Entertainment Collectibles,14
30,Fitness Accessories,24
31,Football,35
32,Gaming Consoles,18
33,Headphones,51
34,Heating & Cooling Appliances,44
35,Home Audio & Theater,23
36,Home Entertainment Systems,51
37,Home Improvement,4
38,Indian Classical,26
39,Indoor Lighting,39
40,International Toy Store,30
41,Janitorial & Sanitation Supplies,34
42,Kids' Watches,4
43,Kitchen & Dining,28
44,Kitchen & Home Appliances,19
45,Kitchen Storage & Containers,48
46,Lab & Scientific,39
47,Laptops,17
48,Latest Video Games,14
49,Monitors,3
50,Motorbike Accessories & Parts,22
51,Musical Instruments & Professional Audio,55
52,Networking Devices,27
53,Nursing & Feeding,8
54,Office Supplies & Stationery,48
55,Printers & Ink,36
56,Refrigerators,17
57,Rucksacks,48
58,STEM Toys Store,11
59,School Bags,45
60,Security Cameras,42
61,Sewing & Craft Supplies,25
62,Smart Home,24
63,Software,20
64,Speakers,30
65,Sports Collectibles,6
66,Strength Training,38
67,Strollers & Prams,45
68,Suitcases & Trolley Bags,92
69,Tablets,18
70,Televisions,37
71,"Test, Measure & Inspect",14
72,The Designer Boutique,2
73,Toys Gifting Store,10
74,Travel Accessories,46
75,Travel Duffles,26
76,Video Games Deals,2
77,Wallets,84
78,Washing Machines,4
79,Yoga,40
