CITY	Himatnagar	Surendranagar	Ahmedabad	Bhavnagar	Vadodara	Anand	Sanand	Surat	Jamnagar	Rajkot	Bhuj
Himatnagar	0	208	88	258	183	149	107	334	392	302	401
Surendranagar	208	0	125	179.1	208	156	99	363	196	114	251
Ahmedabad	88	125	0	171	114	77	29	210	304	215	331
Bhavnagar	258	179	171	0	203	171	158	359	265	174	402
Vadodara	183	208	114	203	0	47	130	150	379	289	440
Anand	149	156	77	171	47	0	92	202	340	250	401
Sanand	107	99	29	158	130	92	0	282	292	203	309
Surat	334	363	210	359	150	202	282	0	538	448	595
Jamnagar	392	196	304	265	379	340	292	538	0	90	254
Rajkot	302	114	215	174	289	250	203	448	90	0	231
Bhuj	401	251	331	402	440	401	309	595	254	231	0
